use case,size,heap,user,collector,average_latency,min_latency,max_latency,percentile_90,percentile_95,percentile_99,throughput,error_rate,footprint,avgfootprintAfterFullGC,avgFreedMemoryByFullGC,avgfootprintAfterGC,avgFreedMemoryByGC,avgPause,minPause,maxPause,avgGCPause,avgFullGCPause,accumPause,fullGCPause,gcPause,gc_throughput,num_full_gc,num_minor_gc,freedMemoryPerMin,gcPerformance,fullGCPerformance,last_one_minutes_la,last_five_minutes_la,last_fifteen_minutes_la
Echo,1024,4g,1000,UseParallelGC,51.13245906,0,2670,124,225,416,15336.04929,0.9267258597,4094,20.46,5419.5,84.517,1356.463,0.00451,0.00352,0.07861,0.00445,0.06513,9.36,0.13,9.23,99.74,2,2074,46905.598,304674.213,81.266,6.77,7.02,7.35
Echo,1024,4g,1000,UseG1GC,58.22455267,0,4547,122,190,342,13981.94875,1.111256173,4096,NA,n.a.,106.611,2421.449,0.00787,0.00479,0.07121,0.00787,n.a.,8.42,0,8.42,99.77,0,1070,43186.224,307798.827,n.a.,8.12,7.9,8.16
Echo,1024,4g,1000,UseConcMarkSweepGC,55.51875446,0,2597,110,144,297,14312.9816,1.055143576,4062.75,NA,n.a.,311.577,266.136,0.01597,0.01052,0.07811,0.01597,n.a.,158.09,0,158.09,95.61,0,9897,43901.331,16661.543,n.a.,8.01,7.98,8.11
Echo,1024,4g,500,UseSerialGC,29.13854323,0,293,33,39,72,17030.77003,0,3959.5,24.709,397.389,69.297,1092.3,0.00568,0.00496,0.14554,0.00561,0.10527,16.4,0.21,16.19,99.54,2,2885,52534.167,194615.365,3775.022,8.17,8.03,8.24
Echo,1024,4g,500,UseParallelGC,29.20130668,0,405,32,36,48,16996.47986,0,4094.5,20.474,5336,74.356,1358.812,0.00362,0.00288,0.34023,0.00357,0.06043,8.46,0.12,8.34,99.77,2,2337,52917.567,380744.595,86.23,8.08,8.1,8.31
Echo,1024,4g,500,UseG1GC,32.53137796,0,352,35,38,58,15293.00243,0,4096,NA,n.a.,54.737,2424.404,0.00621,0.00305,0.04148,0.00621,n.a.,7.28,0,7.28,99.8,0,1172,47386.325,390114.202,n.a.,8.71,8.99,9.38
Echo,1024,4g,500,UseConcMarkSweepGC,32.0704991,0,302,45,48,60,15503.23522,0,4062.75,NA,n.a.,204.982,266.164,0.01569,0.01094,0.06449,0.01569,n.a.,170.56,0,170.56,95.26,0,10870,48224.006,16962.834,n.a.,8.19,8.43,8.73
Echo,1024,4g,200,UseSerialGC,11.54880458,0,251,15,17,22,17204.04795,0,3959.5,24.973,419.1,64.294,1092.302,0.00501,0.00443,0.1629,0.00493,0.12093,14.62,0.24,14.37,99.59,2,2917,53124.159,221653.776,3465.621,8.71,8.25,8.26
Echo,1024,4g,200,UseParallelGC,11.69873149,0,298,16,19,29,16982.92701,0,4095,20.253,5424,58.614,1360.148,0.00301,0.00253,0.08529,0.00296,0.05975,6.95,0.12,6.83,99.81,2,2310,52382.134,459983.801,88.653,8.9,8.15,8.1
Echo,1024,4g,200,UseG1GC,12.63420232,0,302,16,19,27,15739.45794,0,4096,NA,n.a.,47.425,2429.483,0.00554,0.0029,0.05375,0.00554,n.a.,6.67,0,6.67,99.81,0,1204,48774.614,438421.342,n.a.,9.09,8.62,8.88
Echo,1024,4g,200,UseConcMarkSweepGC,12.57434413,0,362,17,23,31,15807.29721,0,4062.75,NA,n.a.,47.864,266.197,0.01538,0.00743,0.08271,0.01538,n.a.,169.46,0,169.46,95.29,0,11018,48885.452,17307.34,n.a.,8.52,8.41,8.36
Echo,1024,4g,100,UseSerialGC,6.115941608,0,211,8,11,17,16218.29091,0,3959.5,24.919,408.18,55.729,1092.305,0.00442,0.00395,0.1567,0.00435,0.10995,12.24,0.22,12.02,99.66,2,2767,50400.359,251393.458,3712.408,6.7,7.05,7.28
Echo,1024,4g,100,UseParallelGC,5.891686022,0,152,9,11,21,16831.24759,0,4095,20.601,5345,47.454,1360.747,0.0026,0.00215,0.07129,0.00254,0.06386,5.89,0.13,5.77,99.84,2,2268,51429.631,535242.015,81.733,6.53,6.94,7.18
Echo,1024,4g,100,UseG1GC,6.680666116,0,179,10,14,34,14869.02155,0,4096,NA,n.a.,37.503,2428.298,0.00494,0.00282,0.04728,0.00494,n.a.,5.67,0,5.67,99.84,0,1146,46396.607,491115.412,n.a.,7.87,8,8.23
Echo,1024,4g,100,UseConcMarkSweepGC,6.372471332,0,242,9,14,25,15576.56479,0,4062.75,NA,n.a.,35.097,266.197,0.01436,0.00948,0.06238,0.01436,n.a.,153.94,0,153.94,95.72,0,10721,47567.855,18538.976,n.a.,6.54,6.98,7.3
Echo,1024,4g,50,UseSerialGC,3.141489627,0,204,5,9,19,15715.65285,0,3959.5,24.936,408.17,47.439,1092.307,0.00404,0.00355,0.15402,0.00396,0.11704,10.69,0.23,10.46,99.7,2,2641,48106.091,275904.156,3487.526,6.86,7.39,7.44
Echo,1024,4g,50,UseParallelGC,3.216456994,0,124,5,9,17,15355.84553,0,4095,20.605,5240.5,41.719,1360.699,0.00233,0.00198,0.07478,0.00227,0.06227,4.87,0.12,4.74,99.86,2,2084,47263.991,598182.842,82.192,6.76,7.16,7.32
Echo,1024,4g,50,UseG1GC,3.620155163,0,157,6,9,23,13652.69216,0,4096,NA,n.a.,40.287,2430.125,0.0049,0.00331,0.03458,0.0049,n.a.,5.16,0,5.16,99.86,0,1052,42614.514,495546.578,n.a.,8.31,7.62,7.43
